video_id,rank,component,bot_id,phase,level,time,channel_id,parent_video_id
U-waf5puqaA,6,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000741,UCCXoCcu9Rp7NPbTzIvogpZg,rJboGx6pZXA
S1Onniy08AY,7,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000742,UCa6vGFO9ty8v5KZJXQxdhaw,rJboGx6pZXA
YqVRcFQagtI,8,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000744,UCG_9bap2YO5CQoWUNcbcEgA,rJboGx6pZXA
SGADnOhvcbY,9,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000745,UC-SJ6nODDmufqBzPBwCvYvQ,rJboGx6pZXA
cyzmNhWqsx8,0,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.284167,,
neV3EPgvZ3g,1,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.293737,,
aOcAqCvH66Q,2,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.301759,,
ByI8nke4R3A,3,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.310242,,
9voZnLhXFL4,4,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.318249,,
2oLl8NLtels,5,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.326686,,
ULdkpU51hTQ,6,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.334095,,
DSCkYRTjlNw,7,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.342414,,
FfqLxxXLM-4,8,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.350175,,
_FqPnuoQgoM,9,homepage,sean.carter.99.test,create,3,2022-03-16 16:12:00.357683,,
fwAuEP1igis,0,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791057,UCCITMedGC5PA-zMrLTH5-kg,Xk2dfSFHrqQ
OlVUmkZYsn8,1,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791065,UCMk8U2Hmfdxqn3zrCq2g9oQ,Xk2dfSFHrqQ
Kj3EtIvttFk,2,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791067,UCzF4Ryn8TKn64md77gS5Q5Q,Xk2dfSFHrqQ
VPe5f5dcrGE,3,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791069,UCGINcKuFbysZAslgL46KeOA,Xk2dfSFHrqQ
-1jAOJHvll0,4,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791070,UCeqiTXK_fFEHKgtdJ6LuBZA,Xk2dfSFHrqQ
OeP4FFr88SQ,5,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791071,UCnRI0ay61tY-fKYzzB3fCnw,Xk2dfSFHrqQ
HiOZQSwj5VU,6,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791073,UCVRbtFwaBGcixZIkygtalRw,Xk2dfSFHrqQ
JrMiSQAGOS4,7,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791074,UCGINcKuFbysZAslgL46KeOA,Xk2dfSFHrqQ
HdKK3XtUnFY,8,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791075,UCzF4Ryn8TKn64md77gS5Q5Q,Xk2dfSFHrqQ
FeGr87SfEE0,9,videopage,sean.carter.99.test,create,3,2022-03-16 16:12:16.791077,UCzF4Ryn8TKn64md77gS5Q5Q,Xk2dfSFHrqQ
lORBbuXHv20,0,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.288110,,
7eOnu19E3vU,1,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.298077,,
aOcAqCvH66Q,2,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.306409,,
FfqLxxXLM-4,3,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.314799,,
HnqQyfdJTlM,4,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.323189,,
9voZnLhXFL4,5,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.331454,,
ULdkpU51hTQ,6,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.339146,,
DSCkYRTjlNw,7,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.347326,,
qlM_IFCNgKw,8,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.355575,,
LGQVn8nsvN0,9,homepage,sean.carter.99.test,create,4,2022-03-16 16:42:18.363778,,
xwuSgA_RzYc,0,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702421,UCp1KrVaZDZ7BOI_QBuTWWmg,hpyQKeS-62I
yGWhNvTE_fk,1,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702431,UCp1KrVaZDZ7BOI_QBuTWWmg,hpyQKeS-62I
VVlDpksqras,2,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702433,UC8p1vwvWtl6T73JiExfWs1g,hpyQKeS-62I
sFtTWfuAdAY,3,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702434,UCYOcJ00IMsyv_h9SFtA9EJg,hpyQKeS-62I
t5xqzEzkcj0,4,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702435,UCzF4Ryn8TKn64md77gS5Q5Q,hpyQKeS-62I
zfaOf70M4xs,5,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702437,UCWE58e_BbmBgE8h-oskutQA,hpyQKeS-62I
f8O-9NQqZQo,6,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702438,UCzF4Ryn8TKn64md77gS5Q5Q,hpyQKeS-62I
sxU2es2-Bxo,7,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702439,UCp1KrVaZDZ7BOI_QBuTWWmg,hpyQKeS-62I
8kvFtXphmMU,8,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702441,UC55s4syyt0XwztkFKj2EBAA,hpyQKeS-62I
ECVxKMBJjJA,9,videopage,sean.carter.99.test,create,4,2022-03-16 16:42:34.702442,UCsN32BtMd0IoByjJRNF12cw,hpyQKeS-62I
0-qAxWMjSKw,0,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.840017,,
3rmWJAQ0Na4,1,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.850996,,
aOcAqCvH66Q,2,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.860085,,
9voZnLhXFL4,3,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.868542,,
gBx4IwYe3L8,4,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.876998,,
HnqQyfdJTlM,5,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.885301,,
