video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,topic,strategy,note,on_list,manual_label_1-4,exp_stage,on_topic
tKTy16mC2g4,UCPDis9pjXuqyI7RYLJ-TTSA,8,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
2JQeHqU5oEc,UCQ8FR_oIFBTtFH268dKIHEw,9,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
GuHt6C3aPlQ,UCUXcXqfOOrNe7e594x9QaPQ,0,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,1,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
38gVZgE39K8,UCHnyfMqiRRG1u-2MsSQLbXA,2,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
CoGGhHB1uMs,UCttUqDVfXgajFToBjiqepvQ,3,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
o3L8Pbt8Xyk,UCLAcytNR3gdw44yzoSiKluA,4,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
ndAlzoq0FfI,UCW5BaXolL-jh1wAmZC78leQ,5,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
hqG7Zj-5WMI,UCpB959t8iPrxQWj7G6n0ctQ,6,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
LtwKO3jIAdk,UCdqp0KK_Io7TwK5cJMBvB0Q,7,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
sHkc83XA2dY,UC1W8ShdwtfgjRHdbl1Lctcw,8,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
3tU4r6lPNQc,UCUi3_cffYenmMTuWEsLHzqg,9,homepage,,alt-right_delete_4,stain,1,2,alt-right,delete,4,False,False,1,False
K6O0P-ajiaA,UC8XElpsf3j_hgceQA7IDJ8Q,0,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,False,False,2,False
gibh_sI7Pp4,UCN0-RRaxMgh86eOwndAklxw,1,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,True,,2,True
J58gQXjXIEc,UCHC60upCUfq7EAfw6oDQRDA,2,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,True,,2,True
GuXgctLoqBM,UCXbKcBLGxOw--ZMpaipzOEQ,3,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,False,False,2,False
6-266bADD-M,UCmrLCXSDScliR7q8AxxjvXg,4,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,True,,2,True
xWXgCascH50,UCswH8ovgUp5Bdg-0_JTYFNw,5,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,False,False,2,False
bDyG72UhNSo,UC9MAhZQQd9egwWCxrwSIsJQ,6,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,False,False,2,False
gbbl180_2SM,UCqZQlzSHbVJrwrn5XvzrzcA,7,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,False,False,2,False
3wg7CYDPKbo,UCXIJgqnII2ZOINSWNOGFThA,8,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,False,False,2,False
gjwDLen0xQw,UCN0-RRaxMgh86eOwndAklxw,9,homepage,,alt-right_delete_4,stain,39,39,alt-right,delete,4,True,,2,True
0rliFQ0qyAM,UCJLZe_NoiG0hT7QCX_9vmqw,0,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
fXS_gkWAIs0,UChPuCAEXg7iYkVNjQY1NGYg,1,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
EKpIxt6vJeE,UC1n_yB_W-FZCbwajZPcs8Jw,2,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
6PpEQAnX5ng,UCDITPPg2yh6rVP6KCj_7S6g,3,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
jK9spxXUeV8,UCidJftClM4kU1196YynvqXg,4,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
9NhopisHeZc,UCGlHivrjIrXDkAWpAjjvZrw,5,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,6,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
gbbl180_2SM,UCqZQlzSHbVJrwrn5XvzrzcA,7,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
